url,name,role,image,ind,true_count,almost_true_count,misleading_count,no_data_count,false_count,outrageous_count
/profiles/ferdosipour.html,عادل فردوسی‌پور,گزارشگر فوتبال,https://factnameh.com/wp-content/uploads/2018/06/Factnameh-adel-ferdosipour-225x225.png?t=1537802166,115,0,0,0,0,1,0
/profiles/bills.html,طرح‌ها و لوایح,,https://factnameh.com/wp-content/uploads/2020/07/N3321796-5314124-225x156.jpg?t=1594923542,116,0,0,0,0,1,0
/profiles/%d8%b5%d8%af%d8%b1%d8%a7%d9%84%d9%84%d9%87-%d9%85%d8%ad%d9%85%d9%88%d8%af%db%8c.html,صدرالله محمودی,رئیس سابق اورژانس بیمارستان بقیه‌‌الله ,https://factnameh.com/wp-content/uploads/2020/03/Factnameh-sadrollah-mohammadi-225x225.jpg?t=1584377579,117,0,0,0,0,1,0
/profiles/larijani.html,صادق لاریجانی,رییس مجمع تشخیص مصلحت نظام,https://factnameh.com/wp-content/uploads/2019/01/Factnameh-sadegh-larijani-225x225.png?t=1547680227,118,0,0,0,0,0,1
/profiles/mowlaverdi.html,شهیندخت مولاوردی,دستیار رییس جمهور در امور حقوق شهروندی,https://factnameh.com/wp-content/uploads/2017/05/Factnameh-Shahindokht-Mollaverdi-225x225.jpg?t=1537801423,119,0,1,0,0,0,0
/profiles/amani.html,شهربانو امانی,عضو شورای شهر تهران,https://factnameh.com/wp-content/uploads/2019/11/Factnameh-shahrbanou-amani-225x225.png?t=1574725240,120,0,0,0,0,1,0
/profiles/social-media.html,شبکه‌های اجتماعی,تلگرام، توییتر، اینستاگرام، فیسبوک،...,https://factnameh.com/wp-content/uploads/2017/09/socialmedia1-225x225.png?t=1537801601,121,6,6,9,2,62,37
/profiles/mousavi.html,سید‌نظام‌الدین موسوی,معاون ارتباطات و رسانه آستان قدس رضوی,https://factnameh.com/wp-content/uploads/2020/02/Factnameh-hesamodin-Mousavi-225x225.png?t=1581112726,122,0,0,0,0,1,0
/profiles/s-m-hosseini.html,سیدمحمد حسینی,معاون مجمع تقریب مذاهب اسلامی,https://factnameh.com/wp-content/uploads/2020/08/Factnameh-mohammad-hosseini-225x225.jpg?t=1596659132,123,0,0,0,0,0,1
/profiles/siamak-rahpeyk.html,سیامک ره‌پیک,قائم مقام دبیر و عضو حقوقدان شورای نگهبان,https://factnameh.com/wp-content/uploads/2021/05/Factnameh-Siamak-Rahpeyk-225x225.jpg?t=1621024791,124,0,0,0,0,1,0
/profiles/sattari.html,سورنا ستاری,معاون علمی و فناوری رییس جمهوری,https://factnameh.com/wp-content/uploads/2018/11/Factnameh-sorena-satari-225x225.png?t=1543602058,125,1,0,1,0,2,0
/profiles/somaye-rafei-jpg.html,سمیه رفیعی,نماینده تهران در مجلس,https://factnameh.com/wp-content/uploads/2020/06/Factnameh-somaye-rafei-225x225.jpg?t=1593104762,126,0,0,0,0,1,0
